Estación,fecha_hora,weekday,Hora,latitud,longitud,ruido_pred
Calle 106,2020-01-04 20:00:00,6,20,4.69280155,-74.05614686,51.33042295192093
Calle 106,2020-01-04 21:00:00,6,21,4.69280155,-74.05614686,50.77645358908542
Calle 106,2020-01-04 22:00:00,6,22,4.69280155,-74.05614686,49.36342385839337
Calle 106,2020-01-04 23:00:00,6,23,4.69280155,-74.05614686,47.60772381186063
Calle 106,2020-01-05 00:00:00,7,0,4.69280155,-74.05614686,44.7747215746528
Calle 106,2020-01-05 01:00:00,7,1,4.69280155,-74.05614686,44.5807084438138
Calle 106,2020-01-05 02:00:00,7,2,4.69280155,-74.05614686,44.89370791684342
Calle 106,2020-01-05 03:00:00,7,3,4.69280155,-74.05614686,43.864748478573645
Calle 106,2020-01-05 04:00:00,7,4,4.69280155,-74.05614686,43.0522149569921
Calle 106,2020-01-05 05:00:00,7,5,4.69280155,-74.05614686,47.33674912852621
Calle 106,2020-01-05 06:00:00,7,6,4.69280155,-74.05614686,50.17852153238113
Calle 106,2020-01-05 07:00:00,7,7,4.69280155,-74.05614686,50.386087423722905
Calle 106,2020-01-05 08:00:00,7,8,4.69280155,-74.05614686,50.506664394498245
Calle 106,2020-01-05 09:00:00,7,9,4.69280155,-74.05614686,50.51495798715804
Calle 106,2020-01-05 10:00:00,7,10,4.69280155,-74.05614686,50.82180644179724
Calle 106,2020-01-05 11:00:00,7,11,4.69280155,-74.05614686,51.32020831043284
Calle 106,2020-01-05 12:00:00,7,12,4.69280155,-74.05614686,51.660202485932956
Calle 106,2020-01-05 13:00:00,7,13,4.69280155,-74.05614686,51.80526402274596
Calle 106,2020-01-05 14:00:00,7,14,4.69280155,-74.05614686,51.82430555698958
Calle 106,2020-01-05 15:00:00,7,15,4.69280155,-74.05614686,51.77791450704316
Calle 106,2020-01-05 16:00:00,7,16,4.69280155,-74.05614686,51.58219194212559
Calle 106,2020-01-05 17:00:00,7,17,4.69280155,-74.05614686,51.328321781194624
Calle 106,2020-01-05 18:00:00,7,18,4.69280155,-74.05614686,50.96806510241868
Calle 106,2020-01-05 19:00:00,7,19,4.69280155,-74.05614686,50.73663266589336
Calle 106,2020-01-05 20:00:00,7,20,4.69280155,-74.05614686,49.6893771232344
Calle 106,2020-01-05 21:00:00,7,21,4.69280155,-74.05614686,49.03769980389578
Calle 106,2020-01-05 22:00:00,7,22,4.69280155,-74.05614686,47.69110974870322
Calle 106,2020-01-05 23:00:00,7,23,4.69280155,-74.05614686,46.02863882481502
Calle 106,2020-01-06 00:00:00,1,0,4.69280155,-74.05614686,41.531709128468314
Calle 106,2020-01-06 01:00:00,1,1,4.69280155,-74.05614686,41.15762327886205
Calle 106,2020-01-06 02:00:00,1,2,4.69280155,-74.05614686,41.080197233698634
Calle 106,2020-01-06 03:00:00,1,3,4.69280155,-74.05614686,41.52890389928126
Calle 106,2020-01-06 04:00:00,1,4,4.69280155,-74.05614686,42.77759838037083
Calle 106,2020-01-06 05:00:00,1,5,4.69280155,-74.05614686,49.06461029874337
Calle 106,2020-01-06 06:00:00,1,6,4.69280155,-74.05614686,52.66910083205914
Calle 106,2020-01-06 07:00:00,1,7,4.69280155,-74.05614686,52.9796831306299
Calle 106,2020-01-06 08:00:00,1,8,4.69280155,-74.05614686,52.796224018070404
Calle 106,2020-01-06 09:00:00,1,9,4.69280155,-74.05614686,52.66636107645949
Calle 106,2020-01-06 10:00:00,1,10,4.69280155,-74.05614686,52.92069336294472
Calle 106,2020-01-06 11:00:00,1,11,4.69280155,-74.05614686,53.0182352757581
Calle 106,2020-01-06 12:00:00,1,12,4.69280155,-74.05614686,53.143500291877615
Calle 106,2020-01-06 13:00:00,1,13,4.69280155,-74.05614686,53.21077846805908
Calle 106,2020-01-06 14:00:00,1,14,4.69280155,-74.05614686,53.44144964766199
Calle 106,2020-01-06 15:00:00,1,15,4.69280155,-74.05614686,53.415317975719276
Calle 106,2020-01-06 16:00:00,1,16,4.69280155,-74.05614686,53.33677752430294
Calle 106,2020-01-06 17:00:00,1,17,4.69280155,-74.05614686,53.106394478872055
Calle 106,2020-01-06 18:00:00,1,18,4.69280155,-74.05614686,52.82087696476051
Calle 106,2020-01-06 19:00:00,1,19,4.69280155,-74.05614686,52.624471065240826
Calle 106,2020-01-06 20:00:00,1,20,4.69280155,-74.05614686,50.9022683711083
Calle 106,2020-01-06 21:00:00,1,21,4.69280155,-74.05614686,50.05846112739295
Calle 106,2020-01-06 22:00:00,1,22,4.69280155,-74.05614686,48.812870947446264
Calle 106,2020-01-06 23:00:00,1,23,4.69280155,-74.05614686,46.807979589653385
Calle 106,2020-01-07 00:00:00,2,0,4.69280155,-74.05614686,41.515229246996505
Calle 106,2020-01-07 01:00:00,2,1,4.69280155,-74.05614686,40.86368736850263
