Estación;latitude;longitude;Variable;Hora;Valor_max;Valor_mean;Valor_min
CAI 20 de Julio;4.572588;-74.092548;Lmin;1;94.2;29.91913003663002;0.0
CAI 20 de Julio;4.572588;-74.092548;Lmin;2;77.5;27.097887563884083;2.1
CAI 20 de Julio;4.572588;-74.092548;Lmin;3;76.3;26.570163056704704;2.1
CAI 20 de Julio;4.572588;-74.092548;Lmin;4;77.3;28.592035957239986;2.3
CAI 20 de Julio;4.572588;-74.092548;Lmin;5;80.2;34.039568275527664;2.9
CAI 20 de Julio;4.572588;-74.092548;Lmin;6;81.8;37.543234866828136;4.6
CAI 20 de Julio;4.572588;-74.092548;Lmin;7;87.9;38.19149579831946;5.1
CAI 20 de Julio;4.572588;-74.092548;Lmin;8;81.6;38.20960774818387;6.3
CAI 20 de Julio;4.572588;-74.092548;Lmin;9;81.6;39.133471452661844;6.4
CAI 20 de Julio;4.572588;-74.092548;Lmin;10;82.9;40.09980245723965;6.5
CAI 20 de Julio;4.572588;-74.092548;Lmin;11;82.1;40.7966050420169;6.5
CAI 20 de Julio;4.572588;-74.092548;Lmin;12;82.4;41.34455885907688;6.8
CAI 20 de Julio;4.572588;-74.092548;Lmin;13;87.4;41.694479418886466;0.0
CAI 20 de Julio;4.572588;-74.092548;Lmin;14;81.7;41.781287657920615;6.7
CAI 20 de Julio;4.572588;-74.092548;Lmin;15;81.1;41.66861501210678;6.6
CAI 20 de Julio;4.572588;-74.092548;Lmin;16;82.0;41.66237123420793;6.5
CAI 20 de Julio;4.572588;-74.092548;Lmin;17;81.1;41.83472714043216;6.3
CAI 20 de Julio;4.572588;-74.092548;Lmin;18;82.3;41.489588051072225;6.1
CAI 20 de Julio;4.572588;-74.092548;Lmin;19;80.9;40.39949379411043;0.0
CAI 20 de Julio;4.572588;-74.092548;Lmin;20;80.9;39.04886247877749;4.6
CAI 20 de Julio;4.572588;-74.092548;Lmin;21;79.3;37.64629737609332;3.6
CAI 20 de Julio;4.572588;-74.092548;Lmin;22;80.0;35.910783410138336;2.6
CAI 20 de Julio;4.572588;-74.092548;Lmin;23;78.5;33.54923599320859;2.4
CAI 7 de Agosto;4.6582300000000005;-74.077138;L10;0;89.1;55.27210389610389;15.5
CAI 7 de Agosto;4.6582300000000005;-74.077138;L10;1;88.9;52.731155085135775;6.2
CAI 7 de Agosto;4.6582300000000005;-74.077138;L10;2;88.6;54.34735477178422;13.7
CAI 7 de Agosto;4.6582300000000005;-74.077138;L10;3;89.4;56.66721991701247;14.1
CAI 7 de Agosto;4.6582300000000005;-74.077138;L10;4;92.1;60.266338174273834;19.6
CAI 7 de Agosto;4.6582300000000005;-74.077138;L10;5;94.2;63.08360995850632;25.3
CAI 7 de Agosto;4.6582300000000005;-74.077138;L10;6;94.4;63.60508298755191;26.4
CAI 7 de Agosto;4.6582300000000005;-74.077138;L10;7;94.8;63.30701754385973;19.6
CAI 7 de Agosto;4.6582300000000005;-74.077138;L10;8;94.9;63.14676691729328;19.8
CAI 7 de Agosto;4.6582300000000005;-74.077138;L10;9;94.2;62.75955665024628;19.7
CAI 7 de Agosto;4.6582300000000005;-74.077138;L10;10;94.7;62.62364532019708;19.8
CAI 7 de Agosto;4.6582300000000005;-74.077138;L10;11;95.4;63.00182266009861;20.1
CAI 7 de Agosto;4.6582300000000005;-74.077138;L10;12;95.9;62.804137931034454;20.2
CAI 7 de Agosto;4.6582300000000005;-74.077138;L10;13;94.6;63.06119480519483;21.5
CAI 7 de Agosto;4.6582300000000005;-74.077138;L10;14;94.5;62.88887755102053;22.4
CAI 7 de Agosto;4.6582300000000005;-74.077138;L10;15;96.6;62.994233766233755;23.7
CAI 7 de Agosto;4.6582300000000005;-74.077138;L10;16;94.5;62.8662244897958;22.2
CAI 7 de Agosto;4.6582300000000005;-74.077138;L10;17;94.5;62.62789610389599;23.1
CAI 7 de Agosto;4.6582300000000005;-74.077138;L10;18;94.6;62.124030612245086;20.3
CAI 7 de Agosto;4.6582300000000005;-74.077138;L10;19;93.2;61.32602597402595;9.5
CAI 7 de Agosto;4.6582300000000005;-74.077138;L10;20;92.7;61.35375661375673;22.8
CAI 7 de Agosto;4.6582300000000005;-74.077138;L10;21;91.8;60.85343915343922;20.5
CAI 7 de Agosto;4.6582300000000005;-74.077138;L10;22;91.4;59.80114285714293;19.9
CAI 7 de Agosto;4.6582300000000005;-74.077138;L10;23;90.7;58.21556122448975;18.0
CAI 7 de Agosto;4.6582300000000005;-74.077138;L50;0;85.1;46.511376623376684;7.4
CAI 7 de Agosto;4.6582300000000005;-74.077138;L50;1;85.3;44.38099401748725;6.2
CAI 7 de Agosto;4.6582300000000005;-74.077138;L50;2;84.0;44.395643153526926;6.8
CAI 7 de Agosto;4.6582300000000005;-74.077138;L50;3;84.3;47.18656639004147;6.9
CAI 7 de Agosto;4.6582300000000005;-74.077138;L50;4;87.7;53.27110995850624;10.3
CAI 7 de Agosto;4.6582300000000005;-74.077138;L50;5;90.7;58.33864107883819;18.7
CAI 7 de Agosto;4.6582300000000005;-74.077138;L50;6;91.5;59.424844398340305;19.7
